Film,Sala,Data,Rzad,Miejsce,Status
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,1,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,2,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,3,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,4,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,5,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,6,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,7,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,8,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,9,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),1,10,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,1,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,2,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,3,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,4,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,5,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,6,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,7,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,8,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,9,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),2,10,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,1,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,2,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,3,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,4,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,5,SPRZEDANE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,6,SPRZEDANE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,7,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,8,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,9,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),3,10,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,1,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,2,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,3,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,4,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,5,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,6,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,7,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,8,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,9,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),4,10,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,1,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,2,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,3,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,4,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,5,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,6,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,7,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,8,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,9,WOLNE
Avatar 2,Sala Kinowa Główna,Avatar 2 (2026-01-20 20:00),5,10,SPRZEDANE
